,Date,Time,Rain(mm)
315,2021-07-27,04:30:00,0.0
316,2021-07-27,04:40:00,0.0
317,2021-07-27,04:50:00,0.16666666666666666
318,2021-07-27,05:00:00,0.5
319,2021-07-27,05:10:00,0.8333333333333333
320,2021-07-27,05:20:00,0.9999999999999999
321,2021-07-27,05:30:00,1.0
322,2021-07-27,05:40:00,1.0
323,2021-07-27,05:50:00,1.0
324,2021-07-27,06:00:00,1.0
325,2021-07-27,06:10:00,1.0
326,2021-07-27,06:20:00,1.0
327,2021-07-27,06:30:00,1.0
328,2021-07-27,06:40:00,1.0
329,2021-07-27,06:50:00,1.0
330,2021-07-27,07:00:00,1.0
331,2021-07-27,07:10:00,1.0
332,2021-07-27,07:20:00,1.0
333,2021-07-27,07:30:00,1.0
334,2021-07-27,07:40:00,1.0
335,2021-07-27,07:50:00,1.0
336,2021-07-27,08:00:00,1.0
337,2021-07-27,08:10:00,1.0
338,2021-07-27,08:20:00,1.0
339,2021-07-27,08:30:00,1.0
340,2021-07-27,08:40:00,1.0
341,2021-07-27,08:50:00,1.0
342,2021-07-27,09:00:00,1.0
343,2021-07-27,09:10:00,1.0
344,2021-07-27,09:20:00,1.0
345,2021-07-27,09:30:00,1.0
346,2021-07-27,09:40:00,1.0
347,2021-07-27,09:50:00,1.0
348,2021-07-27,10:00:00,1.0
349,2021-07-27,10:10:00,1.0
350,2021-07-27,10:20:00,1.0
351,2021-07-27,10:30:00,1.0
352,2021-07-27,10:40:00,1.0
353,2021-07-27,10:50:00,1.0
354,2021-07-27,11:00:00,1.0
355,2021-07-27,11:10:00,1.0
356,2021-07-27,11:20:00,1.0
357,2021-07-27,11:30:00,1.0
358,2021-07-27,11:40:00,1.0
359,2021-07-27,11:50:00,1.0
360,2021-07-27,12:00:00,1.0
361,2021-07-27,12:10:00,1.0
362,2021-07-27,12:20:00,1.0
363,2021-07-27,12:30:00,1.0
364,2021-07-27,12:40:00,1.0
365,2021-07-27,12:50:00,1.0
366,2021-07-27,13:00:00,1.0
