,base_of_brightest_echo,height_of_brightest_echo,brightest_ref,average_echo,average_echo_depth,mean_velocity,mean_Turbulence,lowest_elevation_ref,datetime
49,-1.0,-1.0,,,0.0,0.08648645796334115,1.1458910321324935,-32.0,2021-08-04 11:10:00
50,-1.0,-1.0,,,0.0,0.05126624411617248,1.0,-32.0,2021-08-04 11:20:00
51,-1.0,-1.0,,,0.0,0.09906301844257581,1.0,-32.0,2021-08-04 11:30:00
52,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 11:40:00
53,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 11:50:00
54,-1.0,-1.0,,,0.0,0.15497744940350192,1.0,-32.0,2021-08-04 12:00:00
55,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 12:10:00
56,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 12:20:00
57,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 12:30:00
58,-1.0,-1.0,,,0.0,0.15690795470634583,1.0,-32.0,2021-08-04 12:40:00
59,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 12:50:00
60,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 13:00:00
61,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 13:10:00
62,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 13:20:00
63,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 13:30:00
64,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 13:40:00
65,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 13:50:00
66,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 14:00:00
67,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 14:10:00
68,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 14:20:00
69,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 14:30:00
70,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 14:40:00
71,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 14:50:00
72,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 15:00:00
73,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 15:10:00
74,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 15:20:00
75,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 15:30:00
76,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 15:40:00
